"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"KAZ","Kazakhstan",18037776,"Kazakhstan",0,NA,NA,0,"Kazakhstan","Kazakhstan",NA,"paludisme","world","web"
"KEN","Kenya",50221473,"Kenya",12467,11200,13700,24.8240428949585,"Kenya","Kenya",NA,"paludisme","world","web"
"KGZ","Kyrgyz Republic",6198200,"Kyrgyzstan",0,NA,NA,0,"Kyrgyzstan","Kyrgyzstan",NA,"paludisme","world","web"
"KHM","Cambodia",16009414,"Cambodia",345,30,590,2.15498206242902,"Cambodia","Cambodia",2,"paludisme","world","web"
"KIR","Kiribati",114158,NA,NA,NA,NA,0,"Kiribati","Kiribati",NA,"paludisme","world","web"
"KNA","St. Kitts and Nevis",52045,NA,NA,NA,NA,0,"Saint Kitts","St. Kitts & Nevis",NA,"paludisme","world","web"
"KNA","St. Kitts and Nevis",52045,NA,NA,NA,NA,0,"Nevis","St. Kitts & Nevis",NA,"paludisme","world","web"
"KOR","Korea, Rep.",51466201,"Republic of Korea",0,NA,NA,0,"South Korea","South Korea",NA,"paludisme","world","web"
"KWT","Kuwait",4056097,NA,NA,NA,NA,0,"Kuwait","Kuwait",NA,"paludisme","world","web"
"LAC","Latin America & Caribbean (excluding high income)",603254104,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LAO","Lao PDR",6953035,"Lao People's Democratic Republic",30,2,60,0.431466258978993,"Laos","Laos",2,"paludisme","world","web"
"LBN","Lebanon",6811873,NA,NA,NA,NA,0,"Lebanon","Lebanon",1,"paludisme","world","web"
"LBR","Liberia",4702228,"Liberia",2227,1910,2540,47.360527817877,"Liberia","Liberia",NA,"paludisme","world","web"
"LBY","Libya",6580724,NA,NA,NA,NA,0,"Libya","Libya",NA,"paludisme","world","web"
"LCA","St. Lucia",180955,NA,NA,NA,NA,0,"Saint Lucia","St. Lucia",NA,"paludisme","world","web"
"LCN","Latin America & Caribbean",635372515,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LDC","Least developed countries: UN classification",986365080,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LIC","Low income",687449530,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LIE","Liechtenstein",37800,NA,NA,NA,NA,0,"Liechtenstein","Liechtenstein",NA,"paludisme","world","web"
"LKA","Sri Lanka",21444000,"Sri Lanka",0,NA,NA,0,"Sri Lanka","Sri Lanka",NA,"paludisme","world","web"
"LMC","Lower middle income",2981420591,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LMY","Low & middle income",6306560891,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LSO","Lesotho",2091412,NA,NA,NA,NA,0,"Lesotho","Lesotho",NA,"paludisme","world","web"
"LTE","Late-demographic dividend",2276319334,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"LTU","Lithuania",2828403,NA,NA,NA,NA,0,"Lithuania","Lithuania",NA,"paludisme","world","web"
"LUX","Luxembourg",596336,NA,NA,NA,NA,0,"Luxembourg","Luxembourg",3,"paludisme","world","web"
"LVA","Latvia",1942248,NA,NA,NA,NA,0,"Latvia","Latvia",NA,"paludisme","world","web"
"MAC","Macao SAR, China",622585,NA,NA,NA,NA,0,NA,"Macao",NA,"paludisme","world","web"
"MAF","St. Martin (French part)",36560,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MAR","Morocco",35581294,"Morocco",0,NA,NA,0,"Morocco","Morocco",3,"paludisme","world","web"
"MCO","Monaco",38392,NA,NA,NA,NA,0,"Monaco","Monaco",NA,"paludisme","world","web"
"MDA","Moldova",3549196,NA,NA,NA,NA,0,"Moldova","Moldova",NA,"paludisme","world","web"
