"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"PYF","French Polynesia",276103,NA,NA,NA,NA,0,"French Polynesia","French Polynesia",NA,"malaria","world","web"
"QAT","Qatar",2724724,NA,NA,NA,NA,0,"Qatar","Qatar",NA,"malaria","world","web"
"REU",NA,NA,NA,NA,NA,NA,NA,"Reunion","Réunion",NA,"malaria","world","web"
"ROU","Romania",19587491,NA,NA,NA,NA,0,"Romania","Romania",NA,"malaria","world","web"
"RUS","Russian Federation",144496740,NA,NA,NA,NA,0,"Russia","Russia",NA,"malaria","world","web"
"RWA","Rwanda",11980937,"Rwanda",3270,2990,3550,27.2933577732693,"Rwanda","Rwanda",56,"malaria","world","web"
"SAS","South Asia",1792835608,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"SAU","Saudi Arabia",33099147,"Saudi Arabia",0,NA,NA,0,"Saudi Arabia","Saudi Arabia",1,"malaria","world","web"
"SDN","Sudan",40813396,"Sudan",3885,110,8940,9.51893344038315,"Sudan","Sudan",22,"malaria","world","web"
"SEN","Senegal",15419381,"Senegal",4523,4060,4980,29.3332138300493,"Senegal","Senegal",NA,"malaria","world","web"
"SGP","Singapore",5612253,NA,NA,NA,NA,0,"Singapore","Singapore",5,"malaria","world","web"
"SGS",NA,NA,NA,NA,NA,NA,NA,"South Sandwich Islands","South Georgia & South Sandwich Islands",NA,"malaria","world","web"
"SGS",NA,NA,NA,NA,NA,NA,NA,"South Georgia","South Georgia & South Sandwich Islands",NA,"malaria","world","web"
"SHN",NA,NA,NA,NA,NA,NA,NA,"Saint Helena","St. Helena",NA,"malaria","world","web"
"SJM",NA,NA,NA,NA,NA,NA,NA,NA,"Svalbard & Jan Mayen",NA,"malaria","world","web"
"SLB","Solomon Islands",636038,"Solomon Islands",134,20,260,21.0679236146268,"Solomon Islands","Solomon Islands",NA,"malaria","world","web"
"SLE","Sierra Leone",7488431,"Sierra Leone",17590,16200,19000,234.895667730663,"Sierra Leone","Sierra Leone",NA,"malaria","world","web"
"SLV","El Salvador",6388122,"El Salvador",0,NA,NA,0,"El Salvador","El Salvador",NA,"malaria","world","web"
"SMR","San Marino",33671,NA,NA,NA,NA,0,"San Marino","San Marino",NA,"malaria","world","web"
"SOM","Somalia",14589119,"Somalia",1386,40,3100,9.50023095979956,"Somalia","Somalia",68,"malaria","world","web"
"SPM",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre and Miquelon","St. Pierre & Miquelon",NA,"malaria","world","web"
"SRB","Serbia",7020858,NA,NA,NA,NA,0,"Serbia","Serbia",NA,"malaria","world","web"
"SSA","Sub-Saharan Africa (excluding high income)",1050057829,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
