"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"MTQ",NA,NA,NA,NA,NA,NA,NA,"Martinique","Martinique",NA,"malária","world","web"
"MUS","Mauritius",1264613,NA,NA,NA,NA,0,"Mauritius","Mauritius",NA,"malária","world","web"
"MWI","Malawi",17670260,"Malawi",7077,6060,8090,40.0503444771045,"Malawi","Malawi",NA,"malária","world","web"
"MYS","Malaysia",31105028,"Malaysia",10,NA,NA,0.0321491432189034,"Malaysia","Malaysia",NA,"malária","world","web"
"MYT",NA,NA,NA,NA,NA,NA,NA,"Mayotte","Mayotte",NA,"malária","world","web"
"NAC","North America",361751263,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"NAM","Namibia",2402603,"Namibia",229,7,420,9.53132914593048,"Namibia","Namibia",NA,"malária","world","web"
"NCL","New Caledonia",280350,NA,NA,NA,NA,0,"New Caledonia","New Caledonia",NA,"malária","world","web"
"NER","Niger",21602472,"Niger",17155,13000,21300,79.4122080102685,"Niger","Niger",NA,"malária","world","web"
"NFK",NA,NA,NA,NA,NA,NA,NA,"Norfolk Island","Norfolk Island",NA,"malária","world","web"
"NGA","Nigeria",190873311,"Nigeria",81640,64400,98800,42.7718257582905,"Nigeria","Nigeria",NA,"malária","world","web"
"NIC","Nicaragua",6384855,"Nicaragua",10,2,20,0.156620628033056,"Nicaragua","Nicaragua",NA,"malária","world","web"
"NIU",NA,NA,NA,NA,NA,NA,NA,"Niue","Niue",NA,"malária","world","web"
"NLD","Netherlands",17131296,NA,NA,NA,NA,0,"Netherlands","Netherlands",NA,"malária","world","web"
"NOR","Norway",5276968,NA,NA,NA,NA,0,"Norway","Norway",NA,"malária","world","web"
"NPL","Nepal",27627124,"Nepal",1,0,3,0.00361963120012058,"Nepal","Nepal",NA,"malária","world","web"
"NRU","Nauru",12876,NA,NA,NA,NA,0,"Nauru","Nauru",NA,"malária","world","web"
"NZL","New Zealand",4793900,NA,NA,NA,NA,0,"New Zealand","New Zealand",NA,"malária","world","web"
"OED","OECD members",1296225760,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"OMN","Oman",4665935,"Oman",0,NA,NA,0,"Oman","Oman",NA,"malária","world","web"
"OSS","Other small states",30148800,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PAK","Pakistan",207896686,"Pakistan",805,160,1480,0.38721155949547,"Pakistan","Pakistan",NA,"malária","world","web"
"PAN","Panama",4106771,"Panama",0,NA,NA,0,"Panama","Panama",NA,"malária","world","web"
"PCN",NA,NA,NA,NA,NA,NA,NA,"Pitcairn Islands","Pitcairn Islands",NA,"malária","world","web"
"PER","Peru",31444297,"Peru",10,NA,NA,0.0318022692636442,"Peru","Peru",NA,"malária","world","web"
"PHL","Philippines",105173264,"Philippines",34,1,60,0.0323276075181997,"Philippines","Philippines",NA,"malária","world","web"
"PLW","Palau",17808,NA,NA,NA,NA,0,"Palau","Palau",NA,"malária","world","web"
"PNG","Papua New Guinea",8438029,"Papua New Guinea",3053,170,6120,36.1814352617181,"Papua New Guinea","Papua New Guinea",NA,"malária","world","web"
"POL","Poland",37974826,NA,NA,NA,NA,0,"Poland","Poland",NA,"malária","world","web"
"PRE","Pre-demographic dividend",894512725,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PRI","Puerto Rico",3325001,NA,NA,NA,NA,0,"Puerto Rico","Puerto Rico",NA,"malária","world","web"
"PRK","Korea, Dem. People’s Rep.",25429985,"Democratic People's Republic of Korea",0,NA,NA,0,"North Korea","North Korea",NA,"malária","world","web"
"PRT","Portugal",10300300,NA,NA,NA,NA,0,"Portugal","Portugal",3,"malária","world","web"
"PRY","Paraguay",6867062,"Paraguay",0,NA,NA,0,"Paraguay","Paraguay",NA,"malária","world","web"
"PSE","West Bank and Gaza",4454805,NA,NA,NA,NA,0,"Palestine","Palestine",NA,"malária","world","web"
"PSS","Pacific island small states",2422086,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PST","Post-demographic dividend",1106035186,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PYF","French Polynesia",276103,NA,NA,NA,NA,0,"French Polynesia","French Polynesia",NA,"malária","world","web"
"QAT","Qatar",2724724,NA,NA,NA,NA,0,"Qatar","Qatar",NA,"malária","world","web"
"REU",NA,NA,NA,NA,NA,NA,NA,"Reunion","Réunion",NA,"malária","world","web"
"ROU","Romania",19587491,NA,NA,NA,NA,0,"Romania","Romania",0.5,"malária","world","web"
"RUS","Russian Federation",144496740,NA,NA,NA,NA,0,"Russia","Russia",NA,"malária","world","web"
"RWA","Rwanda",11980937,"Rwanda",3270,2990,3550,27.2933577732693,"Rwanda","Rwanda",NA,"malária","world","web"
"SAS","South Asia",1792835608,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"SAU","Saudi Arabia",33099147,"Saudi Arabia",0,NA,NA,0,"Saudi Arabia","Saudi Arabia",NA,"malária","world","web"
"SDN","Sudan",40813396,"Sudan",3885,110,8940,9.51893344038315,"Sudan","Sudan",NA,"malária","world","web"
"SEN","Senegal",15419381,"Senegal",4523,4060,4980,29.3332138300493,"Senegal","Senegal",NA,"malária","world","web"
"SGP","Singapore",5612253,NA,NA,NA,NA,0,"Singapore","Singapore",NA,"malária","world","web"
"SGS",NA,NA,NA,NA,NA,NA,NA,"South Sandwich Islands","South Georgia & South Sandwich Islands",NA,"malária","world","web"
"SGS",NA,NA,NA,NA,NA,NA,NA,"South Georgia","South Georgia & South Sandwich Islands",NA,"malária","world","web"
"SHN",NA,NA,NA,NA,NA,NA,NA,"Saint Helena","St. Helena",NA,"malária","world","web"
"SJM",NA,NA,NA,NA,NA,NA,NA,NA,"Svalbard & Jan Mayen",NA,"malária","world","web"
"SLB","Solomon Islands",636038,"Solomon Islands",134,20,260,21.0679236146268,"Solomon Islands","Solomon Islands",NA,"malária","world","web"
"SLE","Sierra Leone",7488431,"Sierra Leone",17590,16200,19000,234.895667730663,"Sierra Leone","Sierra Leone",NA,"malária","world","web"
"SLV","El Salvador",6388122,"El Salvador",0,NA,NA,0,"El Salvador","El Salvador",NA,"malária","world","web"
"SMR","San Marino",33671,NA,NA,NA,NA,0,"San Marino","San Marino",NA,"malária","world","web"
"SOM","Somalia",14589119,"Somalia",1386,40,3100,9.50023095979956,"Somalia","Somalia",NA,"malária","world","web"
"SPM",NA,NA,NA,NA,NA,NA,NA,"Saint Pierre and Miquelon","St. Pierre & Miquelon",NA,"malária","world","web"
"SRB","Serbia",7020858,NA,NA,NA,NA,0,"Serbia","Serbia",NA,"malária","world","web"
"SSA","Sub-Saharan Africa (excluding high income)",1050057829,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"SSD","South Sudan",10910759,"South Sudan",6069,5220,6920,55.6239946276881,"South Sudan","South Sudan",NA,"malária","world","web"
"SSF","Sub-Saharan Africa",1050153672,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"SST","Small states",39885876,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
