"Date","Google","bing","Yahoo!","YANDEX RU","Ask Jeeves","Seznam","DuckDuckGo","Mail.ru","Conduit","t-online","Babylon","MSN","StartPagina (Google)","WEB.DE","AOL","SweetIM","Arianna","AVG Search","Baidu","Snap.do","Ecosia","Webcrawler","Qwant","YANDEX","Delta Search","Norton Safe Search","Other"
2017-04,92.12,3.52,1.6,1.79,0.02,0.16,0.28,0.16,0,0.01,0,0.17,0.03,0,0.02,0,0.02,0,0.03,0,0,0,0,0.01,0,0.01,0.04
2017-05,91.92,3.63,1.64,1.71,0.02,0.15,0.29,0.16,0,0.01,0,0.3,0.03,0,0.02,0,0.02,0,0.03,0,0,0,0,0.01,0,0.01,0.03
2017-06,91.42,3.82,1.78,1.91,0.02,0.18,0.31,0.18,0,0.01,0,0.23,0.01,0,0.02,0,0.02,0,0.03,0,0,0,0,0.01,0,0.01,0.03
2017-07,91.29,3.7,1.89,2.11,0.02,0.2,0.34,0.17,0,0.01,0,0.13,0.01,0,0.02,0,0.02,0,0.03,0,0,0,0,0.02,0,0.01,0.03
2017-08,91.78,3.5,1.9,1.8,0.02,0.2,0.34,0.14,0,0.01,0,0.18,0.01,0,0.01,0,0.02,0,0.03,0,0,0,0,0.02,0,0.01,0.03
2017-09,91.72,3.66,1.82,1.86,0.01,0.17,0.35,0.13,0,0.01,0,0.12,0.01,0,0.01,0,0.02,0,0.03,0,0,0,0,0.01,0,0.01,0.03
2017-10,92.01,3.67,1.59,1.85,0.02,0.14,0.36,0.13,0,0.01,0,0.1,0.01,0.01,0.01,0,0.01,0,0.03,0,0,0,0,0.01,0,0.01,0.03
2017-11,92.06,3.72,1.21,2.15,0.02,0.13,0.33,0.13,0,0.01,0,0.09,0.01,0.01,0.01,0,0.01,0,0.03,0,0,0,0.02,0.01,0,0.01,0.03
2017-12,91.85,3.66,1.13,2.44,0.02,0.15,0.34,0.14,0,0.02,0,0.09,0.01,0.01,0.01,0,0.01,0,0.03,0,0,0,0.04,0.01,0,0.01,0.03
2018-01,91.66,3.75,1.28,2.4,0.02,0.15,0.33,0.13,0,0.02,0,0.09,0.01,0.01,0,0,0.01,0,0.03,0,0,0,0.04,0.01,0,0.01,0.03
2018-02,91.48,3.62,1.4,2.6,0.02,0.15,0.31,0.13,0,0.02,0,0.09,0.01,0.01,0,0,0.01,0,0.03,0,0,0,0.04,0.01,0,0.01,0.05
2018-03,91.53,3.66,1.37,2.58,0.01,0.16,0.35,0.13,0,0.02,0,0.03,0.01,0.01,0,0,0.01,0,0.03,0,0,0,0.04,0.01,0,0.01,0.03
2018-04,91.58,3.68,1.32,2.54,0.01,0.16,0.39,0.12,0,0.03,0,0.01,0.01,0.01,0,0,0.01,0,0.04,0,0,0,0.05,0.01,0,0.01,0.04
2018-05,91.63,3.73,1.34,2.35,0.01,0.19,0.39,0.11,0,0.03,0,0.01,0.01,0.02,0,0,0.01,0,0.04,0,0,0,0.05,0.01,0,0.01,0.04
2018-06,91.33,3.82,1.32,2.45,0.01,0.2,0.39,0.11,0,0.03,0,0.13,0.01,0.04,0,0,0.01,0,0.04,0,0,0,0.05,0.01,0,0.01,0.04
2018-07,91.42,3.71,1.29,2.44,0.01,0.2,0.38,0.11,0,0.03,0,0.2,0.01,0.04,0,0,0,0,0.04,0,0,0,0.05,0.01,0,0.01,0.04
2018-08,91.72,3.65,1.29,2.38,0.01,0.18,0.31,0.11,0,0.04,0,0.1,0.01,0.05,0,0,0,0,0.03,0,0,0,0.05,0.01,0,0.01,0.04
2018-09,93.32,2.15,1.24,2.32,0.01,0.17,0.31,0.13,0,0.03,0,0.12,0.01,0.04,0,0,0,0,0.02,0,0,0,0.06,0.01,0,0.01,0.04
2018-10,93.57,2.11,1.13,2.28,0.01,0.12,0.31,0.11,0,0.03,0,0.14,0.01,0.04,0,0,0,0,0.02,0,0,0,0.06,0.01,0,0.01,0.03
2018-11,93.36,2.18,1.12,2.34,0.01,0.12,0.34,0.11,0,0.03,0,0.2,0.01,0.04,0,0,0,0,0.02,0,0,0,0.06,0.01,0,0.01,0.03
2018-12,93.41,2.12,1.08,2.37,0.01,0.14,0.35,0.11,0,0.03,0,0.17,0.01,0.04,0,0,0,0,0.02,0,0,0,0.07,0.02,0,0.01,0.03
2019-01,93.5,2.21,1.06,2.15,0.01,0.13,0.36,0.11,0,0.03,0,0.26,0.01,0.04,0,0,0,0,0.02,0,0,0,0.07,0.01,0,0.01,0.03
2019-02,93.65,2.27,1.09,2.01,0.01,0.12,0.38,0.11,0,0.03,0,0.14,0.01,0.04,0,0,0,0,0.02,0,0,0,0.06,0.01,0,0.01,0.03
2019-03,93.64,2.31,1.06,1.95,0,0.12,0.4,0.12,0,0.03,0,0.17,0.01,0.04,0,0,0,0,0.02,0,0,0,0.07,0.02,0,0.01,0.02
2019-04,93.61,2.31,1.05,2,0.01,0.14,0.39,0.1,0,0.04,0,0.16,0.01,0.04,0,0,0,0,0.02,0,0,0,0.07,0.01,0,0.01,0.03
2019-05,93.78,2.3,1.02,1.78,0,0.17,0.39,0.08,0,0.03,0,0.25,0.01,0.03,0,0,0,0,0.02,0,0,0,0.07,0.02,0,0.01,0.03
2019-06,93.56,2.42,0.98,1.96,0,0.17,0.42,0.1,0,0.03,0,0.17,0.01,0.03,0,0,0,0,0.02,0,0,0,0.07,0.02,0,0.01,0.03
2019-07,92.77,3.1,0.92,1.95,0,0.19,0.48,0.09,0,0.03,0,0.15,0.01,0.03,0,0,0,0,0.02,0,0.1,0,0.07,0.02,0,0.01,0.03
2019-08,93.03,3.02,0.89,1.72,0,0.15,0.47,0.09,0,0.03,0,0.12,0.01,0.03,0,0,0,0,0.02,0,0.27,0,0.07,0.02,0,0.01,0.02
2019-09,93.86,2.25,0.89,1.59,0,0.12,0.43,0.09,0,0.03,0,0.21,0.01,0.03,0,0,0,0,0.02,0,0.33,0,0.08,0.02,0,0.01,0.02
2019-10,93.84,2.32,0.87,1.69,0,0.1,0.38,0.1,0,0.02,0,0.17,0.01,0.02,0,0,0,0,0.02,0,0.31,0,0.08,0.02,0,0.01,0.02
2019-11,93.9,2.33,0.89,1.67,0,0.09,0.39,0.1,0,0.03,0,0.06,0.01,0.02,0,0,0,0,0.02,0,0.34,0,0.08,0.03,0,0.01,0.02
2019-12,93.91,2.28,0.87,1.74,0,0.1,0.4,0.09,0,0.03,0,0.03,0.01,0.03,0,0,0,0,0.02,0,0.34,0,0.08,0.03,0,0.01,0.02
