"","year","ISO","CCODE","language_type","hits_mean","hits_median","hits_max","hits_sd","HRINGO_count","theta_mean","Amnesty","State","HRW","gdp_growth","gdp_pc_currentus","gini","literacy_per","rat_sum"
"20",2016,"ZA",560,"English",8.59557692307692,4.23,47,10.6199432097484,NA,NA,NA,NA,NA,0.56536293,5280.0176,NA,NA,15
"21",2012,"TZ",510,"English",21.7698113207547,19.35,45,9.97962028924757,12,0.260928560543113,2,3,NA,5.1410136,820.15631,NA,78.100594,13
"22",2013,"TZ",510,"English",14.1403846153846,12.6,35.55,6.17610066765541,NA,0.187452151688409,NA,3,NA,7.263061,901.73145,NA,NA,13
"23",2014,"TZ",510,"English",10.3673076923077,9.45,22.5,4.33182346941051,NA,0.180743699274946,3,3,NA,6.9651351,950.37433,NA,NA,13
"24",2015,"TZ",510,"English",9.98653846153846,10.35,18.45,3.61654850332787,12,0.25295532391472,2,3,NA,6.9593143,872.29547,NA,77.88723,13
"25",2016,"TZ",510,"English",11.9336538461538,11.25,27,4.77524992831036,NA,NA,NA,NA,NA,6.9681296,877.50763,NA,NA,13
"26",2012,"ET",530,"English",23.6852830188679,23.32,44,9.05470226409664,6,-0.65290004175855,4,3,NA,8.6478119,468.50671,NA,NA,11
"27",2013,"ET",530,"English",18.2092307692308,17.82,43.12,8.51862684464171,NA,-0.522452002282305,NA,3,3,10.58227,502.15359,NA,NA,11
"28",2014,"ET",530,"English",16.1276923076923,14.96,42.24,7.90122964254637,NA,-0.611535662062336,4,3,4,10.257493,571.16229,NA,NA,13
"29",2015,"ET",530,"English",12.6330769230769,11.66,26.84,5.48753580128981,6,-0.590187605087378,4,3,3,10.392463,645.46503,39.099998,NA,13
"30",2016,"ET",530,"English",13.4623076923077,12.32,31.68,6.07639941612246,NA,NA,NA,NA,NA,7.5617666,712.87793,NA,NA,13
"31",2012,"KE",501,"English",23.702641509434,22.14,41,6.66270941392446,9,-0.595132541877805,NA,4,NA,4.5632091,1153.2322,NA,NA,10
"32",2013,"KE",501,"English",21.7221153846154,21.935,37.72,6.66096452314394,NA,-0.648606962761411,NA,4,3,5.8786893,1229.1011,NA,NA,10
"33",2014,"KE",501,"English",18.5130769230769,17.63,34.03,5.79451381454113,NA,-0.677728861959893,4,4,3,5.3571167,1335.1233,NA,78.73304,10
"34",2015,"KE",501,"English",14.2632692307692,14.35,24.19,3.87715567928187,10,-0.609783050650751,3,4,3,5.7185073,1355.0458,40.799999,NA,10
"35",2016,"KE",501,"English",13.1436538461538,13.12,20.91,3.20828341423624,NA,NA,NA,NA,NA,5.8691931,1462.5051,NA,NA,10
"36",2012,"NP",790,"English",14.0554716981132,13.26,34,6.93112116750289,10,-0.0193641809302887,3,3,NA,4.7811923,681.7926,NA,NA,16
"37",2013,"NP",790,"English",10.8734615384615,10.54,21.42,4.00570714650856,NA,0.413463059644823,NA,2,2,4.1288776,688.61725,NA,NA,16
"38",2014,"NP",790,"English",9.23230769230769,9.01,17.68,2.82335679462295,NA,0.527651346519093,3,2,2,5.9889846,706.23871,NA,NA,16
"39",2015,"NP",790,"English",8.39538461538462,7.48,27.2,4.4654273060527,8,0.423307042436006,3,3,2,3.3229055,747.16046,NA,NA,16
"40",2016,"NP",790,"English",8.755,8.5,23.8,3.67727707232766,NA,NA,NA,NA,NA,0.41289186,729.12225,NA,NA,16
"41",2012,"MU",590,"English",9.40037735849057,9.28,29,6.43865160342185,6,1.1227141758646,NA,2,NA,3.4961183,9291.2275,35.799999,91.766006,15
"42",2013,"MU",590,"English",8.76134615384615,8.7,19.72,5.27916104031623,NA,1.08578122891561,NA,2,NA,3.3604062,9637.0029,NA,91.490028,15
"43",2014,"MU",590,"English",8.20365384615384,7.25,21.17,4.96959028131118,NA,1.06730384660469,NA,2,NA,3.7445745,10153.938,NA,92.474762,15
"44",2015,"MU",590,"English",8.01961538461538,6.67,17.11,4.03796054207647,6,1.04188201404072,NA,2,NA,3.4686642,9260.4473,NA,92.707603,15
"45",2016,"MU",590,"English",7.64596153846154,7.25,22.91,4.74334467071057,NA,NA,NA,NA,NA,3.8,9681.6182,NA,NA,15
"46",2012,"GH",452,"English",11.617358490566,11.2,28,5.26462510570586,9,0.345296090205578,2,3,NA,9.2927895,1629.8002,42.400002,NA,16
"47",2013,"GH",452,"English",11.6953846153846,10.08,23.52,5.34166106996928,NA,0.522501095813506,NA,2,NA,7.3125248,1814.4923,NA,NA,16
"48",2014,"GH",452,"English",10.8607692307692,10.5,26.04,4.88679366638886,NA,0.559454684839333,1,3,NA,3.9858656,1449.6628,NA,NA,17
"49",2015,"GH",452,"English",9.69769230769231,8.68,24.08,4.3420021655257,10,0.505749706250229,2,3,NA,3.8370409,1353.6842,NA,NA,17
"50",2016,"GH",452,"English",10.1069230769231,9.1,26.88,4.45635018973764,NA,NA,NA,NA,NA,3.7219028,1517.4955,NA,NA,18
"51",2012,"JM",51,"English",10.6509433962264,10.5,24.75,6.14612519089215,6,-0.254850905737148,3,3,NA,-0.62395829,5209.5063,NA,NA,14
"52",2013,"JM",51,"English",9.10576923076923,8.25,25,5.20730683700519,NA,-0.164981337739339,NA,3,NA,0.49874091,5005.5923,NA,NA,14
"53",2014,"JM",51,"English",8.52884615384615,7.875,17.25,4.28021378146968,NA,-0.108319123954142,3,3,NA,0.68276668,4855.8003,NA,NA,14
"54",2015,"JM",51,"English",7.23557692307692,7.125,14.75,3.62906751565502,6,-0.0819677406521974,3,3,NA,0.89265162,4939.8374,NA,NA,14
"55",2016,"JM",51,"English",6.39903846153846,5.75,14.5,3.45427399915479,NA,NA,NA,NA,NA,1.3735274,4878.5757,NA,NA,14
